Avibase.ID,Species1_BirdLife,Species2_eBird,eBird.species.group,Species3_BirdTree,Data.type,Source,Specimen.number,Sex,Age,Locality,Country_WRI,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-wing.Index,Tail.Length,Measurer,Protocol,Publication
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis flammea,1,NHMUK,98.7.12.178,F,0,,United States of America,,11.4,7.1,3.5,5.5,16.4,72,24.3,47.7,33.8,54,CS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis flammea,1,GNM,AvSu 1884,F,0,,Sweden,,10.9,8.4,4.1,5.8,13.5,73,25.2,NA,34.5,56,FS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis flammea,1,GNM,AvSu 2939,M,0,,Sweden,,10.8,7.8,5.1,6.1,14.6,76,25.6,NA,33.7,55,FS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis flammea,1,GNM,AvSu-1884,F,0,,Sweden,,10.9,8.4,4.1,5.8,13.5,73,25.2,47.8,34.5,56,FS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis flammea,1,GNM,AvSu-2939,M,0,,Sweden,,10.8,7.8,5.1,6.1,14.6,76,25.6,50.4,33.7,55,FS,1,NA
AVIBASE-87E8A565,Acanthiza murina,Acanthiza murina,Acanthiza murina,Acanthiza murina,1,AMNH,340868,M,0,,Indonesia,,10.9,6.2,2.8,2.8,17.4,57,14,43,24.6,31,BGF,1,NA
AVIBASE-87E8A565,Acanthiza murina,Acanthiza murina,Acanthiza murina,Acanthiza murina,1,AMNH,340885,M,0,,Indonesia,,11.9,5.7,2.5,2.9,17.1,58,12,46,20.7,NA,BGF,1,NA
AVIBASE-87E8A565,Acanthiza murina,Acanthiza murina,Acanthiza murina,Acanthiza murina,1,AMNH,420312,F,0,,Papua New Guinea,,11.5,6.4,2.4,2.7,18,58,11,47,19,38,BGF,1,NA
AVIBASE-87E8A565,Acanthiza murina,Acanthiza murina,Acanthiza murina,Acanthiza murina,1,AMNH,765628,F,0,,Papua New Guinea,,11.2,5.9,2.2,3,18.2,54,13,41,24.1,37,BGF,1,NA
AVIBASE-87E8A565,Acanthiza murina,Acanthiza murina,Acanthiza murina,Acanthiza murina,1,NHMUK,1967.3.6,M,0,,Indonesia,,10.6,6,2.7,3.4,18.7,56.5,13.7,42.8,24.2,34.5,CS,1,NA
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,1,NHMUK,1924.11.10.10,F,0,,Sri Lanka,,21,12.3,9.1,11.3,41.3,188,63,125,33.5,136,NJTA,1,NA
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,1,NHMUK,1951.25.19,M,0,,Sri Lanka,,18.1,10.9,8.6,11,39.1,170,52,118,30.6,122,NJTA,1,NA
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,1,NHMUK,1955.6.n.20.3087,M,0,,Sri Lanka,,20.8,12.2,9.3,11,42.8,181,63,118,34.8,130,NJTA,1,NA
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,1,NHMUK,82.3.24.11,F,0,,Sri Lanka,,21.2,12.9,9.8,11.1,40.5,201,70,131,34.8,151,NJTA,1,NA
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,1,NHMUK,85.8.19.502,M,0,,India,,20.5,11.5,8.8,11.1,39.7,180,59.6,120.4,33.1,141,ECJ,1,NA
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,1,NHMUK,85.8.19.503,F,0,,India,,21.1,11.7,8.4,13.6,45.5,200,61,139,30.5,154,ECJ,1,NA
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,1,NHMUK,85.8.19.505,F,0,,India,,22.6,13.5,8.9,14.5,57.5,211.5,65.1,146.4,30.8,168,ECJ,1,NA
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,1,NHMUK,85.8.19.506,M,0,,India,,20.6,11.7,7.6,10.4,38.9,188,66.5,121.5,35.4,138,ECJ,1,NA
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,1,MPEG,35824,F,0,,Brazil,,26.4,15.4,11.2,13.7,61.9,240,44.1,196,18.4,209,BDK,1,NA
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,1,NHMUK,1855.12.19.259,U,0,,Brazil,,26.5,15.8,10.4,14.7,61.6,246,45.6,200.4,18.5,198,TB,1,NA
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,1,NHMUK,1887.5.1.253,U,0,,Brazil,,27,15.7,10.1,13.5,56.8,242,46.8,195.2,19.3,203,TB,1,NA
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,Accipiter chilensis,1,NHMUK,1903.12.8.108,F,0,,Argentina,,24.9,14.4,8.2,12.5,53.2,241,75,166,31.1,198,NJTA,1,NA
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,Accipiter chilensis,1,NHMUK,1933.5.21.9,F,0,,Argentina,,24.3,13.4,8.1,11.5,66,243,78,165,32.1,191,NJTA,1,NA
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,Accipiter chilensis,1,NHMUK,1955.6.n.20.3181,M,0,,Chile,,20.5,11.5,7.7,10.1,55,209,65,144,31.1,153,NJTA,1,NA
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,Accipiter chilensis,1,NHMUK,73.10.31.6,M,0,,Chile,,20.9,11.2,6.8,11.5,54.5,209,59,150,28.2,168,NJTA,1,NA
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,1,NHMUK,1955.6.N.20.3172,M,0,,NA,,28.4,12.2,6.6,12.2,58.5,211,50.5,160.5,23.9,153.5,TB,1,NA
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,1,NHMUK,3113,F,0,,Syria,,NA,NA,NA,NA,NA,211,83,128,39.3,NA,MS,1,NA
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,1,NHMUK,1873.10.20.1,F,0,,Republic of Serbia,,23.1,13.2,10.1,11,48.5,234,99,135,42.3,169,NJTA,1,NA
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,1,NHMUK,1934.1.1.12220,F,0,,Iran,,21.8,13.2,9.1,11.5,46.8,229,96,133,41.9,160,NJTA,1,NA
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,1,NHMUK,1936-6.29.3,M,0,,Saudi Arabia,,NA,NA,NA,NA,NA,206,74,132,35.9,NA,MS,1,NA
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,1,NHMUK,1956.57.13,M,0,,Azerbaijan,,20.1,11.1,8.2,11.5,45.1,226,97,129,42.9,152,NJTA,1,NA
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,1,NHMUK,1965.M.1086,M,0,,Jordan,,NA,NA,NA,NA,NA,219,91,128,41.6,NA,MS,1,NA
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,1,NHMUK,1965.m.1089,M,0,,Syria,,19.3,11,7.5,10.5,45.1,210,84,126,40,133,NJTA,1,NA
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,1,NHMUK,1965.M.1093,F,0,,Kenya,,NA,NA,NA,NA,NA,206,78,128,37.9,NA,MS,1,NA
AVIBASE-32760AD5,Accipiter collaris,Accipiter collaris,Accipiter collaris,Accipiter collaris,1,ICN,685,M,1,,Colombia,,18.4,10.3,7.8,10.2,41.8,148,42.6,105.4,28.8,125,MPC,1,NA
AVIBASE-32760AD5,Accipiter collaris,Accipiter collaris,Accipiter collaris,Accipiter collaris,1,ICN,34511,M,0,,Colombia,,17.5,10,9.2,10.7,42.7,152,47.4,104.6,31.2,113,MPC,1,NA
AVIBASE-32760AD5,Accipiter collaris,Accipiter collaris,Accipiter collaris,Accipiter collaris,1,LSUMZ,77940,M,0,,Peru,,19.9,10.4,8.6,11,41.2,157,48.8,108.3,31.1,128,DS,1,NA
AVIBASE-32760AD5,Accipiter collaris,Accipiter collaris,Accipiter collaris,Accipiter collaris,1,LSUMZ,190474,F,0,,Peru,,21.7,12.9,9.4,12,49.5,188,56.7,131.4,30.2,131,OJ,1,NA
AVIBASE-32760AD5,Accipiter collaris,Accipiter collaris,Accipiter collaris,Accipiter collaris,1,NHMUK,1914.11.26,M,0,,Venezuela,,21,12,8.9,11.6,45.5,173,53.5,119.5,30.9,116,MNC,1,NA
AVIBASE-32760AD5,Accipiter collaris,Accipiter collaris,Accipiter collaris,Accipiter collaris,1,NHMUK,1955.6.20.2966,U,0,,Colombia,,19.9,11.7,8.6,10.1,43.7,170,47.8,122.2,28.1,128,MNC,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,1901.12.8.5,F,0,,Australia,,31.6,21.3,11.2,15.4,85.5,287,107,180,37.3,218,NJTA,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,1902.12.30.2,F,0,,Australia,,25.1,16.5,11.5,15,73.6,290,109,181,37.6,216,NJTA,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,1902.12.303.296,F,0,,Australia,,28,19.9,13.3,NA,78.1,286,113,173,39.5,234,PW,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,1955.6./n-20.2658,F,0,,Australia,,31.8,20.6,10.5,15.6,80.6,293,107,186,36.5,230,PW,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,1955.6.n.80.2644,M,0,,Australia,,22.8,13.9,10,12.5,68,261,107,154,41,198,NJTA,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,1955.6.n.80.2645,M,0,,Australia,,22.6,14,9.3,12.6,61,253,102,151,40.3,166,NJTA,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,1955.6.N-20.2673,F,0,,Australia,,31.6,21.3,11.1,15.5,66.9,258,103,155,39.9,201,PW,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,97.12.15.11,F,0,,Australia,,30.6,21.2,12.3,16.7,69.5,267,104,163,39,205,PW,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,97.12.15.14,F,0,,Australia,,31.9,21.1,12.1,16,71.7,264,100,164,37.9,199,PW,1,NA
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,1,NHMUK,97.12.15.36,F,0,,Australia,,30.3,20.8,12.2,17.3,69.5,250,84,166,33.6,193,PW,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1906.12.21.182,M,0,,French Southern and Antarctic Lands,,20.4,14.1,8.6,9.7,44.1,140,41,99,29.3,109,PW,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1931.8.18.148,F,0,,Madagascar,,20.9,13.1,9.7,10.6,50.7,174,47,127,27,154,NJTA,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1931.8.18.161,F,0,,Madagascar,,20.2,12.9,9,11.7,51.6,172,39,133,22.7,138,NJTA,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1931.8.18.166,M,0,,Madagascar,,20.5,11.8,9.4,10.9,47.8,153,44,109,28.8,131,NJTA,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1931.8.18.167,M,0,,Madagascar,,21.7,14.5,8.8,11.5,50.4,163,53,110,32.5,135,PW,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1931.8.18.169,M,0,,Madagascar,,19.1,12.2,8,10,52.1,160,45,115,28.1,122,NJTA,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1931.8.18.175,M,0,,Madagascar,,20.9,12.6,8.6,10.4,46.4,160,44,116,27.5,137,PW,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1959.5.30,M,0,,French Southern and Antarctic Lands,,20.4,13.8,8.4,10.3,43,142,42,100,29.6,110,PW,1,NA
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae,1,NHMUK,1959.5.31,M,0,,French Southern and Antarctic Lands,,19.9,13.2,8.2,11.4,46.3,140,34,106,24.3,108,PW,1,NA
AVIBASE-CE1CF6FD,Accipiter minullus,Accipiter minullus,Accipiter minullus,Accipiter minullus,1,NHMUK,1955.6.N.20.2934,M,0,,Namibia,,15.6,8.1,6.6,7.9,37.1,138,39,99,28.3,89,MNC,1,NA
AVIBASE-CE1CF6FD,Accipiter minullus,Accipiter minullus,Accipiter minullus,Accipiter minullus,1,NHMUK,1955.6.N.20.2938,M,0,,South Africa,,14.1,8.7,6.7,8.1,39.6,134,39.5,94.5,29.5,90,MNC,1,NA
AVIBASE-CE1CF6FD,Accipiter minullus,Accipiter minullus,Accipiter minullus,Accipiter minullus,1,NHMUK,1955.6.N.20.2941,F,0,,South Africa,,16.8,9.9,6.7,9.8,42.8,154,47,107,30.5,107,MNC,1,NA
AVIBASE-CE1CF6FD,Accipiter minullus,Accipiter minullus,Accipiter minullus,Accipiter minullus,1,NHMUK,94.6.16.147,F,0,,South Africa,,17,10.1,7.5,9.5,44.8,163,50.5,112.5,31,114,MNC,1,NA
AVIBASE-CE1CF6FD,Accipiter minullus,Accipiter minullus,Accipiter minullus,Accipiter minullus,2,Field1,NA,F,1,,Zambia,,18.9,9.4,5.6,8.5,42.4,163,47,116,28.8,126,MFZ,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,1931.5.16.2,M,0,,United Kingdom,,18.9,10.2,8.8,10,41.2,200,61.4,138.6,30.7,158,TJM,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,1933.1.12.1,F,0,,United Kingdom,,21.3,13,9.3,11.6,59.9,226,89.5,136.5,39.6,179,TJM,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,1934.1.1.1179,F,0,,United Kingdom,,23.3,12.5,10,11.6,56.5,226,79,147,35,186,TJM,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,2014.7.1,M,0,,United Kingdom,,20.7,12.1,8.4,9.5,52.6,194,67,127,34.5,140,PW,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,2014.8.1,M,0,,United Kingdom,,20.1,12.1,8.4,9.5,54.4,198,72,126,36.4,144,PW,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,74.3-14.28,M,0,,United Kingdom,,19.4,9.5,8,9.4,53,197,72.5,124.5,36.8,157,TJM,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,75.6.14.2,M,0,,France,,18,10.1,7.9,9.2,44.6,179,55,124,30.7,128,PW,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,75.6.14.3,M,0,,France,,19.7,11.2,8.1,9.2,53.2,200,70,130,35,160,PW,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,75.6.25.4,M,0,,France,,19.3,12,9.7,10.1,55.1,206,77,129,37.4,148,PW,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,75.6.4.1,M,0,,France,,19.6,11.7,7.4,9.5,50.9,199,73,126,36.7,137,PW,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,76.6.14.5,F,0,,France,,NA,NA,NA,NA,NA,242,86,156,35.5,NA,MS,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,86.3.25.51,M,0,,Netherlands,,NA,NA,NA,NA,NA,200,72,128,36,NA,MS,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,92.6.10.11,F,0,,Hungary,,NA,NA,NA,NA,NA,228,79,149,34.6,NA,MS,1,NA
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,1,NHMUK,NOLABEL,M,0,,Netherlands,,NA,NA,NA,NA,NA,197,71,126,36,NA,MS,1,NA
AVIBASE-CFB9E213,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,1,NHMUK,1900.6.11.16,F,0,,Australia,,33.1,19.2,11.1,16.5,72.7,302,87,215,28.8,221,NJTA,1,NA
AVIBASE-CFB9E213,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,1,NHMUK,1925.1.1.264,F,0,,Australia,,41.3,26,13,18.2,76.8,294,73,221,24.8,196,PW,1,NA
AVIBASE-CFB9E213,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,1,NHMUK,1925.1.1.265,F,0,,Australia,,34.2,21.1,11.5,18.5,76,287,79,208,27.5,204,NJTA,1,NA
AVIBASE-CFB9E213,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,1,NHMUK,1955.6.n.20.2594,M,0,,Australia,,27.6,15.2,12.5,16.7,59.1,240,74,166,30.8,178,NJTA,1,NA
AVIBASE-CFB9E213,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,1,NHMUK,1955.6.n.30.2596,M,0,,Australia,,28,16.5,10.3,15.4,64.8,240,77,163,32.1,140,NJTA,1,NA
AVIBASE-CFB9E213,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,1,NHMUK,1955.6.N-20.2592,F,0,,Papua New Guinea,,28.5,19.5,11.4,14.7,66.2,240,68,172,28.3,176,PW,1,NA
AVIBASE-CFB9E213,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,1,NHMUK,1955.6.N-20.2706,F,0,,Papua New Guinea,,30.2,21.6,12.2,15.7,65.5,247,74,173,30,173,PW,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter ventralis,1,NHMUK,1914.11.26.381,F,0,,Venezuela,,19.8,10.5,7.2,10.4,57.5,198,56,142,28.3,130,NJTA,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter ventralis,1,NHMUK,1914.11.26.386,F,0,,Venezuela,,19.5,11.1,7.6,10.1,51.5,197,62,135,31.5,126,NJTA,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter ventralis,1,NHMUK,1915.3.18.2,M,0,,Venezuela,,17.8,8.5,5.9,8.9,49.3,171,54,117,31.6,113,NJTA,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter ventralis,1,NHMUK,1955.6.N.20.2985,M,0,,Venezuela,,16.5,9.5,5.9,7.8,48.7,165,39,126,23.6,122,NJTA,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter chionogaster,1,NHMUK,1955.6.N.20.2993,M,0,,Guatemala,,16.3,9.5,6.7,9.1,50.5,173,54.1,118.9,31.3,110,MNC,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter striatus,1,NHMUK,1969.25.913,F,0,,Costa Rica,,21.5,12.6,9.1,11.4,50.1,195,61.1,133.9,31.3,159,TJM,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter erythronemius,1,NHMUK,46.7.16.6,F,0,,Brazil,,18.1,9.7,7.2,8.2,53.5,194,60,134,30.9,119,NJTA,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter striatus,1,NHMUK,87.5.1.197,M,0,,Guatemala,,17.6,9,8.4,10,44.5,166,53.5,112.5,32.2,128,TJM,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter chionogaster,1,NHMUK,87.5.1.234,F,0,,Guatemala,,20.7,11.4,8.5,10.7,56.3,203,68.4,134.6,33.7,157,MNC,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter striatus,1,NHMUK,88.10.10.225,M,0,,United States of America,,16.6,9,9,9.2,50,179,55.3,123.7,30.9,132,TJM,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter chionogaster,1,NHMUK,96.5.9.48,M,0,,Nicaragua,,17.5,9.1,6.6,9,48.7,166,52.6,113.4,31.7,134,MNC,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter chionogaster,1,NHMUK,96.5.9.50,F,0,,Nicaragua,,21,11.9,7.5,10,53.8,197,67,130,34,144,MNC,1,NA
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter striatus,1,NHMUK,99.12.1.22,F,0,,Costa Rica,,22,11.4,8.4,11,54.5,197,70.2,126.8,35.6,158,TJM,1,NA
