Avibase.ID,Species1_BirdLife,Species2_eBird,eBird.species.group,Species3_BirdTree,Data.type,Source,Specimen.number,Sex,Age,Locality,Country_WRI,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-wing.Index,Tail.Length,Measurer,Protocol,Publication
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,1,MPEG,28442,M,0,,Brazil,,37.6,17.9,8.9,11.3,66.5,343,NA,NA,NA,293,BDK,1,NA
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,1,MPEG,31966,F,0,,Brazil,,35.3,15.6,8.6,9.8,63.6,325,NA,NA,NA,289,BDK,1,NA
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,1,MPEG,31994,M,0,,Brazil,,36.9,17.5,8.6,11.6,64.7,NA,NA,NA,NA,316,BDK,1,NA
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,1,MPEG,31995,F,0,,Brazil,,36,15.2,8.6,9,64.6,336,NA,NA,NA,303,BDK,1,NA
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,1,NHMUK,1914.11.26.11,F,0,,Venezuela,,34.9,17.5,10,10,62.3,359,51,308,14.2,260,DS,1,NA
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,1,NHMUK,1914.11.26.12,F,0,,Venezuela,,33.3,15.9,9.8,8,60.2,291,44,247,15.1,239,DS,1,NA
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,1,NHMUK,1925.12.24.653,M,0,,Ecuador,,35.5,15.5,9.9,10.3,70.8,354,50,304,14.1,320,JAT,1,NA
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,1,NHMUK,1950.64.59,M,0,,Colombia,,40.5,17.9,9.7,12,66.8,334,55,279,16.5,281,JAT,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis flammea,1,NHMUK,1906.12.7.2211,M,0,,United States of America,,11.7,8.4,4.1,7,16.5,80,27.9,52.1,34.9,64,CS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis hornemanni,1,NHMUK,1938.11.24.48,F,0,,Greenland,,12.2,7.6,4.5,7.1,17.8,81,25.8,55.2,31.9,66,CS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis flammea,1,NHMUK,1941.5.30.6366,F,0,,United States of America,,11.1,6.8,3.7,5.7,17.3,69,22.8,46.2,33,56,CS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis hornemanni,1,NHMUK,1946.32.101,M,0,,Iceland,,11.7,7.4,4.9,6.8,17,82,26,56,31.7,66,CS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis hornemanni,1,NHMUK,1946.32.111,M,0,,Iceland,,12.2,7.6,4.6,7.2,17.1,79,25.4,53.6,32.2,61,CS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis hornemanni,1,NHMUK,1947.6.539,F,0,,Canada,,11.5,8.1,4.7,7.7,17.8,78,24.7,53.3,31.7,65,CS,1,NA
AVIBASE-0B397CB0,Acanthis flammea,NA,Acanthis hornemanni/flammea/cabaret,Carduelis flammea,1,NHMUK,88.10.10.8653,M,0,,United States of America,,11.8,8.8,4.2,6.8,19.1,72.5,22.8,49.7,31.4,57,CS,1,NA
