Avibase.ID,Species1_BirdLife,Species2_eBird,eBird.species.group,Species3_BirdTree,Data.type,Source,Specimen.number,Sex,Age,Locality,Country_WRI,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-wing.Index,Tail.Length,Measurer,Protocol,Publication
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,1,NHMUK,1902.3.13.188,M,0,,Peru,,15.8,8,2.1,4.3,20.7,70,10.9,59.1,15.6,60,HM,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,1,NHMUK,1902.3.13.189,F,0,,Peru,,14.8,7.6,2.3,4.1,20.8,63,8.3,54.7,13.2,53,HM,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,1,NHMUK,1946.49.743,F,0,,Peru,,15.2,8,2.2,4.3,18.4,66.5,10.5,56,15.8,57,HM,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,1,NHMUK,1946.49.746,M,0,,Peru,,15.7,8.2,2.2,4,19.8,68,11.5,56.5,16.9,56.5,HM,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,13.1,7.4,2.6,4.2,21.3,64,14,50,21.9,56,ML,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,1,,Peru,,15.8,7.9,1.9,3.9,21.5,63,11,52,17.5,55,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,15.9,7.1,1.9,3.4,20.6,68,13,55,19.1,58,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,12.6,7.8,2.2,3.7,23.3,68,12,56,17.6,61,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,14,8.1,2.3,3.6,20.5,66,10,56,15.2,57,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,14.2,8.1,2.4,3.8,21.5,65,12.2,52.8,18.8,54,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,13.1,7.9,2.1,2.5,19.6,65,10.5,54.5,16.2,57,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,13.4,7.6,2.6,3.7,20.7,69,10,59,14.5,65,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,13.3,8,2.6,4.3,20.9,59,7,52,11.9,54,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,12.5,7.7,2.3,4,21.3,63,9.4,53.6,14.9,53,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,13.6,8.5,2.3,3.9,21.4,63,10.3,52.7,16.3,55,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,13,7.2,2.3,3.7,22.2,68,12.5,55.5,18.4,54,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,12.7,7.5,2.4,3.7,21,61,8.4,52.6,13.8,53,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,12.9,8.2,2.4,4.2,21.5,63,9.4,53.6,14.9,55,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,1,,Peru,,12.7,8,2.3,3.6,21.1,62,11,51,17.7,52,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,1,,Peru,,12.6,7.9,2.3,3.8,20,61,10,51,16.4,54,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,12.4,8.1,2.2,3.6,20.9,63,12,51,19,56,GAJ,1,NA
AVIBASE-C77C89B2,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,2,Field1,NA,U,0,,Peru,,15.4,7,2.6,4.1,20.6,65,8.5,56.5,13.1,59,GAJ,1,NA
